Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,1.667713985321628,1.4975631952285766,0.4114500398089172,0.4642578125,6.661115646362305
1,1.3757692909544441,1.3884238243103026,0.5147790605095541,0.50888671875,6.807138442993164
2,1.2181283668347984,1.3465230733156204,0.568545979299363,0.53349609375,6.563174724578857
3,1.0886075086654372,1.3207101225852966,0.6162669187898089,0.5486328125,6.674339056015015
4,0.9623193197948917,1.3030222713947297,0.6616490843949044,0.55283203125,6.6413750648498535
5,0.8331127242677531,1.3214364141225814,0.7102159633757962,0.5609375,6.639499664306641
6,0.7166743483513024,1.3611746609210968,0.753781847133758,0.55712890625,6.556135654449463
7,0.5960730469910203,1.4058228984475136,0.7980692675159236,0.5615234375,6.7110631465911865
8,0.48501328146381745,1.4867927610874176,0.8382265127388535,0.5603515625,6.58381724357605
9,0.3834964148937517,1.555652691423893,0.8778861464968153,0.5638671875,7.220245361328125
Mean,,,,,6.705790400505066
Total,,,,,73.76369440555573
Params: 9467904,,,,,
---,---,---,---,---,---
0,1.646423161409463,1.4602663606405257,0.40766819267515925,0.47802734375,7.9782586097717285
1,1.3344815620191537,1.3696481227874755,0.5232633359872612,0.50908203125,8.248140096664429
2,1.1574146880465708,1.2925100952386857,0.5855642914012739,0.54580078125,7.6896748542785645
3,1.0024129247209828,1.2937580674886704,0.6411474920382165,0.5544921875,7.727776765823364
4,0.841657199297741,1.3374396681785583,0.6993929140127388,0.551953125,7.761695623397827
5,0.6820378360474945,1.3881015986204148,0.7589570063694268,0.5498046875,7.285560607910156
6,0.5274435505745517,1.52041205316782,0.8164560111464968,0.5576171875,8.444678544998169
7,0.40237843325942946,1.645067498087883,0.8606936703821656,0.55849609375,8.189452171325684
8,0.2890534393346993,1.8388381332159043,0.9029408837579618,0.55751953125,7.999891996383667
9,0.21708715341653034,1.9732477873563767,0.9289410828025477,0.56572265625,7.729536294937134
Mean,,,,,7.905466556549072
Total,,,,,86.9601321220398
Params: 10231296,,,,,
---,---,---,---,---,---
0,1.660235698815364,1.5260399967432021,0.4138385748407643,0.460546875,6.690128564834595
1,1.381336723922924,1.39550122320652,0.5092555732484076,0.5083984375,6.741860866546631
2,1.241783871772183,1.3360215246677398,0.5598875398089171,0.52626953125,6.511628150939941
3,1.1168511263124503,1.324617114663124,0.606812300955414,0.53994140625,6.488104820251465
4,1.010393853779811,1.3373725861310959,0.6441331608280255,0.5435546875,6.530746221542358
5,0.9044945323543184,1.3053517177700997,0.6848875398089171,0.560546875,6.473040819168091
6,0.7985630931368299,1.3402297526597977,0.724795979299363,0.5587890625,6.695763826370239
