Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,1.6858689921676733,1.5445050776004792,0.4124203821656051,0.45849609375,4.922408819198608
1,1.4444195685113312,1.5354688078165055,0.4964420780254777,0.47255859375,4.569608211517334
2,1.3479958635986231,1.5446261256933211,0.5332404458598726,0.46689453125,4.77830696105957
3,1.277900191629009,1.5170979648828506,0.5578473328025477,0.48505859375,4.556958436965942
4,1.1905779140010762,1.503182253241539,0.5882016321656051,0.50302734375,4.702564239501953
5,1.1235773829138203,1.4740068316459656,0.6137042197452229,0.51337890625,4.838059425354004
6,1.0619928381245607,1.5071929425001145,0.6338574840764332,0.49912109375,4.9049973487854
7,0.9958793384254359,1.5397262454032898,0.6562251194267515,0.51142578125,4.994945049285889
8,0.922262744539103,1.5652734100818635,0.6858330015923567,0.51787109375,4.916324138641357
9,0.8739346941565252,1.554165890812874,0.70421974522293,0.52236328125,4.814507484436035
Mean,,,,,4.79986801147461
Total,,,,,52.7985481262207
Params: 3157002,,,,,
---,---,---,---,---,---
0,1.6646102196092059,1.5499807834625243,0.41100218949044587,0.45185546875,5.119990110397339
1,1.4362917022340616,1.4581443309783935,0.49465067675159236,0.49033203125,5.02166748046875
2,1.3123017010415436,1.4259264767169952,0.5352308917197452,0.496484375,4.914991140365601
3,1.2094698058571784,1.3960600286722182,0.5733976910828026,0.5130859375,5.0875630378723145
4,1.1182440302933856,1.3582438707351685,0.6033041401273885,0.5279296875,4.969662189483643
5,1.0207049277178042,1.4104629427194595,0.6404010748407644,0.5296875,4.9591453075408936
6,0.9356954959547443,1.413255962729454,0.668093152866242,0.53408203125,4.902956008911133
7,0.8538583015939992,1.515605229139328,0.7005871815286624,0.52470703125,4.92387056350708
8,0.7681738863325422,1.4971821635961533,0.7288017515923567,0.53974609375,4.953113079071045
9,0.6808116648607193,1.582110971212387,0.7616938694267515,0.5298828125,5.084084987640381
Mean,,,,,4.993704390525818
Total,,,,,54.930748295784
Params: 3411722,,,,,
---,---,---,---,---,---
0,1.666212207192828,1.5720163196325303,0.4160280652866242,0.45146484375,5.171822547912598
1,1.443900349033866,1.4973616987466811,0.4950736464968153,0.47578125,5.10662055015564
2,1.343811030600481,1.4624820172786712,0.5327677149681529,0.5029296875,5.260921239852905
3,1.2634556452939465,1.4711802661418916,0.5634205812101911,0.497265625,5.061459541320801
4,1.1944532056522976,1.4719665139913558,0.5894456608280255,0.489453125,5.0542895793914795
5,1.136291123119889,1.4838319450616837,0.607235270700637,0.501953125,5.054850816726685
6,1.079101968343091,1.4662963300943375,0.6298517117834395,0.50595703125,5.4007408618927
7,1.0119309915099175,1.4952655166387558,0.6515226910828026,0.51787109375,5.387300491333008
8,0.9550114581539373,1.4745471224188804,0.6726214171974523,0.5244140625,5.308844566345215
9,0.8943799783469765,1.5226745396852492,0.6951383359872612,0.519140625,5.075926065444946
Mean,,,,,5.188277626037598
Total,,,,,57.07105388641357
Params: 1578506,,,,,
---,---,---,---,---,---
0,1.9318683405590664,1.7934694677591323,0.30580712579617836,0.37421875,5.2305543422698975
1,1.7554903060767302,1.7461196959018708,0.3863704219745223,0.3888671875,5.09749174118042
2,1.6999166019403251,1.7210730016231537,0.4068968949044586,0.39775390625,5.427851438522339
3,1.6722680968084154,1.6992520898580552,0.41781946656050956,0.40283203125,5.407564640045166
4,1.6522381244950992,1.6900578498840333,0.4238156847133758,0.4064453125,5.427460193634033
5,1.63192702174946,1.6811691850423813,0.43182722929936307,0.41103515625,5.112886667251587
6,1.6207403005308407,1.6706856876611709,0.43511146496815284,0.41630859375,5.069769382476807
7,1.6110482086801226,1.6891880601644516,0.4390674761146497,0.40888671875,5.13851261138916
8,1.6023386595355478,1.6642346799373626,0.4421775477707006,0.41748046875,5.203277111053467
9,1.5940218078103034,1.6669518917798996,0.4463574840764331,0.419921875,5.3238701820373535
Mean,,,,,5.243923830986023
Total,,,,,57.68316214084625
Params: 30840,,,,,
---,---,---,---,---,---
0,2.0066137306249825,1.838081094622612,0.27846337579617836,0.35458984375,5.299170017242432
1,1.7802785877968854,1.7534394294023514,0.37542296974522293,0.376953125,5.30698037147522
2,1.7164504072468751,1.715417492389679,0.39858678343949044,0.3916015625,5.235005140304565
3,1.6805314782318796,1.7029918611049653,0.4091859076433121,0.38994140625,5.273423433303833
4,1.6567677039249686,1.6927616775035859,0.41781946656050956,0.39794921875,5.218794822692871
5,1.6386709456231183,1.6699567466974259,0.421875,0.40263671875,5.330553293228149
6,1.6205236737135869,1.6732173800468444,0.428343949044586,0.39931640625,5.253939390182495
7,1.612813527417031,1.6638449847698211,0.43135449840764334,0.4095703125,5.232294797897339
8,1.5994472329024296,1.659425213932991,0.4368531050955414,0.4087890625,5.063170909881592
9,1.5904598418314746,1.6503578573465347,0.4416550557324841,0.41259765625,5.188875913619995
Mean,,,,,5.2402208089828495
Total,,,,,57.64242889881134
Params: 30950,,,,,
---,---,---,---,---,---
0,2.1930990522834146,2.0823760360479353,0.18856986464968153,0.233203125,5.428473949432373
