Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,1.8722747344120292,1.725368469953537,0.3339719347133758,0.3865234375,5.12121319770813
1,1.6519886255264282,1.656138974428177,0.4159036624203822,0.41552734375,4.922296524047852
2,1.584926498923332,1.6002798706293107,0.4385449840764331,0.43310546875,4.890705108642578
3,1.545705147609589,1.601629188656807,0.4515824044585987,0.4361328125,4.8906004428863525
4,1.516752449570188,1.5801110327243806,0.4622312898089172,0.44072265625,4.892682790756226
5,1.4929592951088195,1.5867476493120194,0.4741988455414013,0.440625,4.8875133991241455
6,1.4767353420804261,1.5686082124710083,0.4768361863057325,0.4484375,4.86661171913147
7,1.4572275474572638,1.5611290365457535,0.4859175955414013,0.44765625,4.971924066543579
8,1.442085642723521,1.559560826420784,0.49238654458598724,0.45126953125,4.8642189502716064
9,1.4308981910632674,1.5543229818344115,0.49696457006369427,0.44892578125,4.873346328735352
Mean,,,,,4.918111252784729
Total,,,,,54.099223780632016
Params: 110952,,,,,
---,---,---,---,---,---
0,2.032145974742379,1.8646599888801574,0.25,0.308984375,5.388276815414429
1,1.7845673842035281,1.7720253705978393,0.33971934713375795,0.3505859375,5.3964784145355225
2,1.6830995925672494,1.6841655015945434,0.3861216162420382,0.38466796875,5.519084215164185
3,1.6268911407252027,1.6604842275381089,0.41164908439490444,0.39189453125,5.443636655807495
4,1.5893533617068247,1.6305308133363723,0.42585589171974525,0.41123046875,5.4769415855407715
5,1.557908049054966,1.6156937599182128,0.43869426751592355,0.41787109375,5.495381832122803
6,1.5306937671770715,1.602408191561699,0.4476263933121019,0.4228515625,5.5246734619140625
7,1.51117500833645,1.5948254197835923,0.45170680732484075,0.42646484375,5.532721042633057
8,1.4916144396848738,1.5817841053009034,0.46272890127388533,0.42822265625,5.406074047088623
9,1.4739146437614588,1.5687125861644744,0.47041699840764334,0.43203125,5.5824973583221436
Mean,,,,,5.476576542854309
Total,,,,,60.2423419713974
Params: 112452,,,,,
---,---,---,---,---,---
0,1.6832439390717038,1.5239182859659195,0.4098825636942675,0.4634765625,5.080811262130737
1,1.42268588284778,1.4313469022512435,0.5001741640127388,0.4919921875,5.1194188594818115
2,1.2951150623856076,1.3667845010757447,0.5473228503184714,0.51533203125,5.13983416557312
3,1.2051329377350535,1.346988669037819,0.5783986863057324,0.5228515625,5.133021116256714
4,1.1264491810160837,1.3609956234693528,0.6054189888535032,0.52861328125,5.170261383056641
5,1.052819814651635,1.344628369808197,0.6324641719745223,0.53017578125,5.187275648117065
6,0.9835130424256537,1.3317301541566848,0.6587629378980892,0.5384765625,5.143550634384155
7,0.9188597209893974,1.356641799211502,0.6819267515923567,0.5330078125,5.078583717346191
8,0.8530114968870856,1.3806888073682786,0.7057374601910829,0.5396484375,5.065587520599365
9,0.7933359707996344,1.4066680014133452,0.7279309315286624,0.53427734375,5.117626905441284
Mean,,,,,5.123597121238708
Total,,,,,56.359568333625795
Params: 1590312,,,,,
---,---,---,---,---,---
0,1.774484484818331,1.6010458916425705,0.3583797770700637,0.42412109375,5.56849217414856
1,1.4833682114910927,1.4666819125413895,0.4659136146496815,0.47099609375,5.480354309082031
2,1.3453231153974108,1.396809995174408,0.5177896098726115,0.49990234375,5.576918125152588
3,1.2304433212158785,1.371677067875862,0.560484673566879,0.51416015625,5.528409957885742
4,1.1365901721510918,1.3518951028585433,0.5971835191082803,0.52431640625,5.521681070327759
5,1.0502859152806032,1.3553368687629699,0.6229597929936306,0.53125,5.5364670753479
6,0.9672682011962697,1.3692781746387481,0.6544585987261147,0.5298828125,5.564161777496338
7,0.8848280508047456,1.431813770532608,0.6833947054140127,0.5314453125,5.628974914550781
