Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,1.7599934946959186,1.6502989888191224,0.38360867834394907,0.4158203125,4.871624708175659
1,1.583690942472713,1.5945521622896195,0.44670581210191085,0.4380859375,4.420243263244629
2,1.5158094038629228,1.5535071045160294,0.4721337579617834,0.45283203125,4.347795724868774
3,1.467054168889477,1.5306220442056655,0.48815684713375795,0.46416015625,4.489868640899658
4,1.4325632456761257,1.522050181031227,0.5024631767515924,0.462890625,4.432608604431152
5,1.3996291540230914,1.5063824087381363,0.51281349522293,0.476171875,4.4626240730285645
6,1.3775786503105407,1.5023384749889375,0.5215963375796179,0.47216796875,4.427163362503052
7,1.3565593228977957,1.4909151077270508,0.5286126592356688,0.480078125,4.425411701202393
8,1.3416739018859378,1.4999183654785155,0.5342605493630573,0.47998046875,4.486020803451538
9,1.3252243836214588,1.4967405050992966,0.5369725318471338,0.4806640625,4.530862331390381
Mean,,,,,4.48942232131958
Total,,,,,49.38364553451538
Params: 110998,,,,,
---,---,---,---,---,---
0,1.9404864895875287,1.784444698691368,0.28625099522292996,0.34814453125,4.372695446014404
1,1.6957571984855992,1.6674805581569672,0.38788813694267515,0.39345703125,4.36202335357666
2,1.600689458998905,1.5941908240318299,0.429015724522293,0.427734375,4.4435460567474365
3,1.5390302929908606,1.5585542768239975,0.4547422372611465,0.44375,4.400291442871094
4,1.4890138571429405,1.5482483685016633,0.4706658041401274,0.4509765625,4.4154744148254395
5,1.4494973557769872,1.5123088747262954,0.48713674363057324,0.46181640625,4.442334175109863
6,1.4171683241607278,1.5116794377565383,0.4990047770700637,0.46123046875,4.40285062789917
7,1.3925291413714171,1.4944690108299254,0.5046526671974523,0.466796875,4.498648643493652
8,1.3678732381504812,1.49124074280262,0.5128881369426752,0.47314453125,4.401257514953613
9,1.3481101002662805,1.5112342685461044,0.521297770700637,0.4650390625,4.422487735748291
Mean,,,,,4.416160941123962
Total,,,,,48.577770352363586
Params: 112890,,,,,
---,---,---,---,---,---
0,1.6731158874596759,1.5938773065805436,0.41289311305732485,0.442578125,4.476641654968262
