Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.6028181159115852,0.4597904682159424,0.7895196143617021,0.8347026984742347,5.118764400482178
1,0.4325128319732686,0.39682401050912575,0.8440408909574468,0.8598736714809498,4.847112655639648
2,0.3884240252540467,0.3961291604853691,0.8619722406914894,0.851348784375698,4.887047529220581
3,0.36065659513498877,0.3628295571246046,0.8704704122340425,0.8685172885022265,4.600382328033447
4,0.3397902645012166,0.3590714677851251,0.8779089095744681,0.8691584353751325,5.0496299266815186
5,0.32293476750876043,0.34112194751171354,0.883560505319149,0.8764485196864351,5.456932306289673
6,0.3070845206050163,0.33730929265631004,0.8885679853723404,0.8759735949496006,5.198808908462524
7,0.2964116123286968,0.3296198156919885,0.8912691156914894,0.8783125953471407,5.434755086898804
8,0.2835879091252672,0.3246695148818036,0.8971284906914894,0.8802479112401922,5.435676336288452
9,0.2723767023454321,0.329688402249458,0.9013048537234043,0.8802241644960769,5.3837785720825195
Mean,,,,,5.141288805007934
Total,,,,,56.55417685508728
Params: 101770,,,,,
---,---,---,---,---,---
0,0.6433826120609932,0.48591076566817915,0.7783618683510638,0.8334441502043541,5.859060049057007
1,0.4482191669497084,0.41959931305114256,0.8403008643617021,0.8512063077155579,5.43548059463501
2,0.40872621155799704,0.3977397014486029,0.8541181848404256,0.8538183899635964,5.332437992095947
3,0.38388781645830644,0.3825393407902819,0.8609956781914894,0.8620939406942814,5.475457668304443
4,0.3650513787535911,0.381477509407287,0.8682056183510638,0.858520137502792,5.481359481811523
5,0.3499809945834444,0.36892760180412454,0.874272772606383,0.8643498293896938,5.427256345748901
6,0.3366356352542309,0.3527503444793377,0.8781374667553191,0.8705357148292217,5.42063570022583
7,0.3262888598949351,0.34867016241905535,0.8815034906914894,0.871449943552626,5.5268073081970215
8,0.31184637221567174,0.3456081836781603,0.8875498670212766,0.8724591579843075,5.578266143798828
9,0.3041658028167613,0.34066556172168,0.8908327792553191,0.8741332647648263,5.542182207107544
Mean,,,,,5.507894349098206
Total,,,,,60.586837840080264
Params: 50890,,,,,
---,---,---,---,---,---
0,1.061768650533037,0.6213859180186657,0.6480011635638298,0.787851443950166,5.001097679138184
1,0.5717577338218689,0.5275615910266308,0.8008851396276596,0.8152664329143281,5.087472677230835
2,0.5044840162104749,0.4869700752674265,0.8221617353723404,0.8295022807222732,4.971797704696655
