Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.797451967730167,0.5280712576622658,0.7365151263297872,0.8132361325811832,5.127687692642212
1,0.4989503377929647,0.47261511772236925,0.8230551861702128,0.8320075045240686,4.549979209899902
2,0.45671217856889074,0.4514538633062484,0.8391788563829787,0.8426695491405244,4.6015238761901855
3,0.43342662095389467,0.4291597991547686,0.8463887965425532,0.8477512357082773,4.565643548965454
4,0.4169197810140062,0.4199637751630012,0.8520196143617021,0.8501970945520604,4.594693183898926
5,0.4058184782241253,0.4101136269721579,0.8561751994680851,0.8552075421556513,4.654534101486206
6,0.39537242308576054,0.40367417354533014,0.8598113364361702,0.8585438842469073,4.566309928894043
7,0.3889847160019773,0.4015332517471719,0.8614527925531915,0.8600517676231709,4.5972511768341064
8,0.381167452544608,0.4028062211706283,0.863779920212766,0.8586388686870007,4.582493305206299
9,0.37413154574150737,0.3917689726073691,0.866958942819149,0.8645160527939492,4.541497230529785
Mean,,,,,4.638161325454712
Total,,,,,51.01977458000183
Params: 14320,,,,,
---,---,---,---,---,---
0,1.0086684838888493,0.5925038735917274,0.6158369348404256,0.77812737480123,4.775671005249023
1,0.5379815591459579,0.4909736032181598,0.8021110372340425,0.8256553956802856,4.6154725551605225
2,0.47831582927957494,0.4584800081050142,0.8268159906914894,0.8342752672256307,4.617051601409912
3,0.44457506800585606,0.43724181233568393,0.8402177526595744,0.8381340237374001,4.636111497879028
4,0.42475969946764885,0.41910253370061834,0.8465134640957447,0.8484517488073795,4.68127965927124
5,0.4059113904516748,0.4073387346369155,0.8533701795212766,0.854685126466954,4.649556398391724
6,0.39563541994132895,0.42363936977183564,0.858897107712766,0.8457803003331448,4.655944347381592
7,0.38148775625419107,0.4140537660172645,0.862076130319149,0.8510044648292217,4.616512775421143
8,0.3732744555207009,0.39746614656549817,0.8646110372340425,0.855789324070545,4.6185526847839355
9,0.3668439190121407,0.39098287357928907,0.8666057180851063,0.8607760261982045,4.664168119430542
Mean,,,,,4.653032064437866
Total,,,,,51.18335270881653
Params: 14009,,,,,
---,---,---,---,---,---
0,0.595124529555757,0.4535809831416353,0.7937998670212766,0.8380865315173535,4.595331430435181
1,0.4217709052435895,0.39827418802900516,0.8497755984042553,0.8593512545240686,4.591724634170532
2,0.37761382140377736,0.3791578529362983,0.8652967087765957,0.8656558711478051,4.6638994216918945
3,0.35483061870995986,0.37166729284093736,0.8717378656914894,0.8676624247368346,4.589313507080078
4,0.3338533907019077,0.3469306915364367,0.8770777925531915,0.8743113609070473,4.596563816070557
5,0.31330625110484184,0.3425223427884122,0.8859084109042553,0.8782413576511626,4.600486755371094
6,0.29997035060474214,0.3306528922725231,0.8914768949468085,0.881922018020711,4.634307384490967
7,0.2874771030817894,0.3328972658578386,0.8938663563829787,0.8807228347088428,4.619604110717773
8,0.2743688257450753,0.33211124387193236,0.8984582779255319,0.8818389063185834,4.580883026123047
9,0.26600443682772046,0.34094930995017925,0.9027177526595744,0.8811383932194812,4.621781826019287
Mean,,,,,4.609389591217041
Total,,,,,50.70328550338745
Params: 120850,,,,,
---,---,---,---,---,---
0,0.6978238962115125,0.47771562350557206,0.7477767619680851,0.8293123105739025,4.65309476852417
1,0.43425866660285506,0.4116717703798984,0.8422332114361702,0.8483923825811832,4.850957155227661
2,0.389088566157412,0.3902289071615706,0.8587932180851063,0.8572140970128648,4.624170780181885
3,0.35923360193029363,0.36742573596061545,0.8690367353723404,0.8683273183538559,4.640730619430542
4,0.33747791189779625,0.3578706383705139,0.8758726728723404,0.8712837201483706,4.656312704086304
5,0.3188186889474696,0.3558818073348796,0.8814619348404256,0.8693484055235031,4.607215881347656
6,0.3057677297199026,0.35027267894846326,0.8863447473404256,0.8683748105739025,4.592559576034546
7,0.29534704277807095,0.34757783913866,0.8904379986702128,0.8684816690201455,4.620559215545654
8,0.27721284734124835,0.32296263727735963,0.8980427194148937,0.8865644006018943,4.6116743087768555
9,0.2647593758524732,0.3464487163310355,0.9007230718085106,0.8725303956802856,4.60232400894165
Mean,,,,,4.645959901809692
Total,,,,,51.10555891990661
Params: 119722,,,,,
---,---,---,---,---,---
0,0.547989842580988,0.45105500868026244,0.8050822805851063,0.8324468097788222,4.724435329437256
1,0.40258132919986195,0.3808738408570594,0.8550947473404256,0.8646822761982045,4.582768678665161
2,0.3557786243234543,0.3546316312982681,0.870595079787234,0.8719129942833109,4.6191160678863525
3,0.329611757572027,0.3727248431520259,0.8792179188829787,0.8633049967441153,4.612370252609253
4,0.3066113311401073,0.34267911156441305,0.886968085106383,0.8765197573824132,4.571080207824707
5,0.285684420548855,0.3295521831258814,0.8942195811170213,0.8812927438857707,4.552921772003174
6,0.27239894882795657,0.3304173642016472,0.8996010638297872,0.8789893629703116,4.555197238922119
7,0.25952738927716906,0.32470383415830895,0.9056058843085106,0.882385068751396,4.568791627883911
8,0.2445812723896605,0.32791727305726803,0.9101146941489362,0.881957637502792,4.559894800186157
9,0.23425185157263534,0.3143414686968986,0.9140001662234043,0.8882622541265285,4.555713415145874
Mean,,,,,4.590228939056397
Total,,,,,50.49251832962036
Params: 330730,,,,,
---,---,---,---,---,---
0,0.6817818434631571,0.47460790263845565,0.7552568151595744,0.8227583588437831,4.626005411148071
1,0.4280181620666321,0.4033757486241929,0.8443525598404256,0.851384403857779,4.643368244171143
2,0.38279559669342444,0.369664174445132,0.8591879986702128,0.8651215814529581,4.630977630615234
3,0.3477411414397524,0.3796288402790719,0.8721949800531915,0.8667125765313494,4.610635280609131
4,0.33072392824799457,0.34870051957191306,0.877181682180851,0.8721148371696472,4.69538688659668
5,0.30988468142583014,0.34874516408494177,0.8846409574468085,0.87187737480123,4.666416883468628
6,0.2928491134117258,0.3312270400371957,0.8925989029255319,0.8806515970128648,4.620115518569946
7,0.27944116849214473,0.3290511109727494,0.8963804853723404,0.8833705364389622,4.618334770202637
8,0.2687167323967244,0.35077129716568806,0.8993517287234043,0.8758786105095072,4.616785764694214
9,0.25537431628463114,0.31831427394075595,0.9039644281914894,0.8876567254675195,4.767509937286377
Mean,,,,,4.649553632736206
Total,,,,,51.14508996009827
Params: 328490,,,,,
---,---,---,---,---,---
