Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.41655080424661334,0.24624669773781555,0.8822722739361702,0.9306373494736692,5.706594467163086
1,0.2010026814693466,0.1775885003995388,0.9425905917553191,0.9471884509350391,5.886438608169556
2,0.13757863827049732,0.13353979952157813,0.9616231715425532,0.9587528502687495,5.620648622512817
3,0.10117785109484449,0.1148237129475208,0.9717212433510638,0.9656036293252985,5.820990800857544
4,0.07580637311602527,0.10231678909126748,0.9785987367021277,0.9676932946164557,5.826010227203369
5,0.05713510860074708,0.09037281414295764,0.9842503324468085,0.9707684275951791,5.847565174102783
6,0.0432074865811762,0.08587199588246802,0.9885929188829787,0.9715995446164557,5.552722692489624
7,0.03214918014573607,0.08261860657404078,0.9921043882978723,0.9754345569204776,5.422307968139648
8,0.022031566549211422,0.08036133801524943,0.9953873005319149,0.9748646477435498,5.402393102645874
9,0.01549051951696264,0.0794779738767984,0.9974858710106383,0.9763606583818476,5.485018253326416
Mean,,,,,5.657068991661072
Total,,,,,62.22775890827179
Params: 304896,,,,,
---,---,---,---,---,---
0,0.48010110973994785,0.2894953723917616,0.866938164893617,0.9179687512681839,5.73465371131897
1,0.25347598451883235,0.23366578081820874,0.9267993683510638,0.9330832070492684,5.898558855056763
2,0.19022830619298398,0.18268847180173753,0.9453748337765957,0.9464998105739025,5.409548997879028
3,0.14761697465276463,0.15162388687121106,0.9580285904255319,0.9553571432194812,5.475290298461914
4,0.11665484182378079,0.13873167621328475,0.9675033244680851,0.9587528502687495,5.416609287261963
5,0.09491609015125543,0.12045694467552165,0.9737574800531915,0.9646537811198133,5.71846079826355
6,0.07725157313286624,0.11415383988555441,0.9789311835106383,0.9645825421556513,6.10615086555481
7,0.06312148628677143,0.10710210083646977,0.9831283244680851,0.967717041360571,6.018677234649658
8,0.05109611607374663,0.1047722728169979,0.9868683510638298,0.9689162246724392,5.830434799194336
9,0.041088309074613326,0.10475515383989253,0.9901928191489362,0.9692842909630309,6.075967311859131
Mean,,,,,5.768435215950012
Total,,,,,63.452787375450136
Params: 152448,,,,,
---,---,---,---,---,---
0,0.8872774411389168,0.4306983364389298,0.7444730718085106,0.87798014853863,5.991399049758911
1,0.3591281177198633,0.32903838918564166,0.8977518284574468,0.9059531739417542,6.047544956207275
2,0.29951435216563815,0.2967587728449639,0.9154546210106383,0.9152023183538559,5.542564392089844
3,0.27371053104387955,0.2767919809260267,0.9219996675531915,0.9198565736730048,5.864478349685669
4,0.2547312151402869,0.26540326485608484,0.9282953789893617,0.9227892299915882,6.000953674316406
5,0.2408269801513946,0.26166956031576116,0.9318276263297872,0.9224449091769279,5.994082927703857
6,0.22897463394923412,0.25216257492912575,0.9353806515957447,0.9273010073824132,5.947953462600708
7,0.21850444003939629,0.24784106333205042,0.9386635638297872,0.9273484996024598,5.847269296646118
8,0.20815010947432924,0.2417271985335553,0.9422581449468085,0.9282152361058175,5.9514594078063965
9,0.20198607294166343,0.24070951865708573,0.944107380319149,0.9299130896304516,5.977410554885864
Mean,,,,,5.916511607170105
Total,,,,,65.08162767887116
Params: 23820,,,,,
---,---,---,---,---,---
0,1.5094148221802204,1.0388735837124763,0.5220246010638298,0.6803880130991022,5.933045387268066
1,0.808137778906112,0.6625812497544796,0.762923869680851,0.8096623293896938,5.8749589920043945
2,0.613868367481739,0.5752374181087981,0.8221825132978723,0.8359018817861029,5.893959999084473
3,0.5498098198403704,0.5305402329627503,0.8431266622340425,0.8485942254675195,5.90267014503479
4,0.5055401024032147,0.49702766474257126,0.855946642287234,0.8615477782614688,5.856692552566528
5,0.4676533577607033,0.4617581716243257,0.8675822805851063,0.8705000953471407,5.935003042221069
6,0.4354182946238112,0.4349066970196176,0.8762466755319149,0.8794167942189156,5.695050954818726
7,0.4094706174541027,0.4140320141264733,0.8847448470744681,0.8841897807222732,5.415589332580566
8,0.3881747873222574,0.4053581496502491,0.8907288896276596,0.8845103547928181,5.880706310272217
9,0.3704826531416558,0.3918371187879684,0.89453125,0.8871936747368346,5.950787305831909
Mean,,,,,5.833846402168274
Total,,,,,64.17231042385102
Params: 11910,,,,,
---,---,---,---,---,---
0,0.971097376435361,0.4914074197728583,0.720931682180851,0.8572022230067151,6.179361343383789
1,0.42276346842025186,0.38569015201101914,0.87890625,0.8870630708146603,6.265291213989258
2,0.3449165939175068,0.3307026960748307,0.9005776263297872,0.902165653857779,6.132595539093018
3,0.304504625737033,0.3090448737778562,0.9124625997340425,0.9100375200839753,6.324385166168213
4,0.2786417021713358,0.2864141050488391,0.9197140957446809,0.9164489938857707,6.126488447189331
5,0.25861974742184296,0.27135311352445723,0.925552692819149,0.9218512545240686,6.186263799667358
6,0.24299343778414928,0.26085917144379717,0.9310796210106383,0.9257693772620343,6.29779577255249
7,0.22942429733403186,0.2565436543936425,0.9345079787234043,0.9267904644316816,6.166013717651367
8,0.218803447056958,0.2516524067267458,0.9370428856382979,0.9268498293896938,6.0935447216033936
9,0.21056713754350834,0.24352244097501674,0.9388921210106383,0.9309579222760302,6.171689033508301
Mean,,,,,6.194342875480652
Total,,,,,68.13777163028718
Params: 24120,,,,,
---,---,---,---,---,---
0,1.7399887442588806,1.3371412982331945,0.4011801861702128,0.6219961059854385,6.315953493118286
