Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.39547480111743544,0.22659649953563163,0.8899393284574468,0.9345673449496006,5.019063949584961
1,0.1813105166830281,0.16235713248557232,0.948491522606383,0.9527450622396266,4.597476482391357
2,0.12868453362124396,0.12905693870592624,0.9638464095744681,0.9599164140985367,4.615983247756958
3,0.09625012235359308,0.1097257674691525,0.9721160239361702,0.9652711825167879,4.591801881790161
4,0.07546930107228617,0.10586536493390164,0.9786610704787234,0.9672777361058175,4.74562668800354
5,0.06297580471777535,0.09974272010174204,0.9818400930851063,0.9687737467441153,5.019240379333496
6,0.052180471314870296,0.09435532777074804,0.9845204454787234,0.97144519521835,4.911852598190308
7,0.04307196531543865,0.0865843598829939,0.987076130319149,0.9732142864389622,4.785237550735474
8,0.037285352730132795,0.08441504483368803,0.9895902593085106,0.9727868551903582,4.910152435302734
9,0.030502415955700773,0.08299236088753381,0.9918342752659575,0.9745440736730048,4.938161849975586
Mean,,,,,4.813459706306458
Total,,,,,52.948056769371036
Params: 101770,,,,,
---,---,---,---,---,---
0,0.4613288199489421,0.25900688038227404,0.869867852393617,0.9252232148292217,5.608111619949341
1,0.22132099970699626,0.19586650646747428,0.9366065492021277,0.9435315360414221,5.393594741821289
2,0.17105903690482707,0.17076778396012934,0.9513380984042553,0.9499905020632642,5.612390756607056
3,0.1403060197988723,0.14604530729194906,0.9599193816489362,0.9568412811198133,5.603807210922241
4,0.12064323330575481,0.13204411187387527,0.965342420212766,0.9607475311198133,5.762311697006226
5,0.10205227953005344,0.12261027176963522,0.9715134640957447,0.9643332070492684,5.623332738876343
6,0.09066361988438888,0.11131160440755651,0.9737782579787234,0.9662566502043541,5.39196515083313
7,0.07884666556492448,0.11231359863217841,0.9773520611702128,0.9656511215453453,5.39771032333374
8,0.07125681023450291,0.10208461841845766,0.9796168550531915,0.96768142187849,5.385956287384033
9,0.06320083078908477,0.1023841234756277,0.9818193151595744,0.968358188233477,5.375926494598389
Mean,,,,,5.515510702133179
Total,,,,,60.670617723464964
Params: 50890,,,,,
---,---,---,---,---,---
0,0.9677373972978998,0.44938363864066755,0.706781914893617,0.8717705176231709,5.248538255691528
1,0.3742143597374571,0.3310086146948185,0.8937624667553191,0.9059887921556513,5.160837888717651
2,0.30407582255119975,0.29419630734210317,0.9130028257978723,0.916650836772107,5.221295356750488
3,0.27760584589014664,0.2784091224695774,0.9197348736702128,0.9189898371696472,5.449703693389893
4,0.2637913412553199,0.27246152688848213,0.9232878989361702,0.9197022230067151,5.542108058929443
5,0.2525866685554068,0.26526586647997513,0.926986369680851,0.9231335495380645,5.606034517288208
6,0.24546695167713978,0.2588758557400805,0.9285862699468085,0.9246176874383967,5.651984214782715
7,0.23919248129142093,0.2612220145603444,0.9317445146276596,0.9223736714809498,5.521914482116699
8,0.2347338088253077,0.2520936721182884,0.9322016289893617,0.9251994693532903,5.537130117416382
9,0.23140243940213892,0.255895289810414,0.9336768617021277,0.9231216768000988,5.516145467758179
Mean,,,,,5.4455692052841185
Total,,,,,59.9012612581253
Params: 7960,,,,,
---,---,---,---,---,---
0,1.202219860350832,0.7718340145780686,0.6363031914893617,0.773473119482081,5.7064478397369385
1,0.6778429271058833,0.6176539234658505,0.7960854388297872,0.8207399325167879,5.634772539138794
2,0.5716066896281344,0.5525507685985971,0.8324675864361702,0.8432394570492684,5.473591327667236
3,0.5184830005498643,0.5166189055493537,0.8510222739361702,0.8559080552547536,5.610404968261719
4,0.48786136809181657,0.4951843613005699,0.8613904587765957,0.8622007991405244,5.542259931564331
5,0.46825058774111117,0.48112350131603,0.867935505319149,0.8652759321192478,5.538439512252808
6,0.45472245140278594,0.4715230166912079,0.8721534242021277,0.8717111526651585,5.586130380630493
7,0.445528377877905,0.46685883941802575,0.8756233377659575,0.8726966190845409,5.609586477279663
8,0.4382005027951078,0.4605426220817769,0.8766830119680851,0.8745844427575457,5.5861732959747314
9,0.43170590096331657,0.45552906298891027,0.8790932513297872,0.874750666161801,5.599369525909424
Mean,,,,,5.588717579841614
Total,,,,,61.47589337825775
Params: 3985,,,,,
---,---,---,---,---,---
0,1.016126168059542,0.4986006256113661,0.677235704787234,0.8567154268000988,5.414671421051025
1,0.42504143572234093,0.3808023584015826,0.8801529255319149,0.8915154832474729,5.429202556610107
2,0.35642990469932556,0.3448761057980517,0.8983959441489362,0.9002303392329114,5.5006797313690186
3,0.3210370491476769,0.3143001461916782,0.908203125,0.9090520523964091,5.521986961364746
4,0.29573306702870006,0.3000696317312565,0.9151845079787234,0.9119134697508304,5.519001007080078
5,0.2773494364574869,0.28639249884067697,0.9209192154255319,0.9162115315173535,5.372933387756348
6,0.2644047102633309,0.2699701323154125,0.9235580119680851,0.924819530324733,5.5079522132873535
7,0.2536329427298079,0.2623453181474767,0.9276304853723404,0.9233116456802856,5.6945765018463135
