Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,1.2264318437652384,0.5571063408192168,0.5797872340425532,0.8457090626371667,4.834071636199951
1,0.4507288414430111,0.4132741905273275,0.8740442154255319,0.8860894771332436,4.812947988510132
2,0.37828043737310046,0.38336087287740506,0.893783244680851,0.89424629667972,4.787582159042358
3,0.3496417223297535,0.35815775362735097,0.9026969747340425,0.9012276796584434,4.839365243911743
4,0.33031828550899284,0.349597157316005,0.9076213430851063,0.9016788576511626,4.795171022415161
5,0.3153610391978254,0.33457205460426653,0.9115275930851063,0.9069148948852052,4.792914867401123
6,0.3027209407313073,0.3245825453641567,0.9156624002659575,0.9089214484742347,4.818313121795654
7,0.29155025845195387,0.3176336110906398,0.9186128656914894,0.9122459165593411,4.806768894195557
8,0.2828595042228699,0.31097324351046945,0.921147772606383,0.9136588154955113,4.78125786781311
9,0.27475464050757126,0.3101691743160816,0.9223113364361702,0.9157603547928181,4.797167062759399
Mean,,,,,4.806555986404419
Total,,,,,52.87211585044861
Params: 14292,,,,,
---,---,---,---,---,---
0,1.7369499770884818,1.252641700683756,0.43324052526595747,0.616795688233477,5.238698720932007
1,0.9529360003293829,0.7362048156717991,0.7215134640957447,0.7953552438857707,5.222096920013428
2,0.6341159467367415,0.5822451488768801,0.823470744680851,0.835296353127094,5.265472173690796
3,0.5321191904392648,0.5245989694240245,0.8498171542553191,0.850244586772107,5.230886220932007
4,0.4737799544917776,0.47093714488313554,0.8673952792553191,0.867543693552626,5.225672245025635
5,0.4301195420483325,0.4463859587273699,0.8804438164893617,0.8738364374383967,5.22884464263916
6,0.3966827337095078,0.4157524134250397,0.889897772606383,0.8828243740061497,5.219181537628174
7,0.3708151743767109,0.3890657497847334,0.896962267287234,0.8905300155599066,5.222019195556641
8,0.34645685490141526,0.383290485498753,0.9032787566489362,0.8913492598432176,5.226668834686279
9,0.32985136055565895,0.36759417741856676,0.9078706781914894,0.8970720945520604,5.223484754562378
Mean,,,,,5.230302524566651
Total,,,,,57.53332777023316
Params: 14427,,,,,
---,---,---,---,---,---
0,0.49464690732829114,0.29640216364505445,0.8626994680851063,0.9164252484098394,4.849811792373657
1,0.2487956905301581,0.23078423199501444,0.9279421542553191,0.9348166800559835,4.815326690673828
2,0.189627431967157,0.18846990231503832,0.9456657247340425,0.9487200810554179,4.8115339279174805
3,0.14952334912216408,0.16069319257710843,0.9575714760638298,0.9547516158286561,4.838210821151733
4,0.12211988810846146,0.14203960369242,0.965093085106383,0.9590852970772601,4.816674470901489
5,0.10078214695479007,0.13335716637208106,0.9713264627659575,0.9628371964109704,4.814264535903931
6,0.08380251508602436,0.12263888873635455,0.9761884973404256,0.9648200045240686,4.814560413360596
7,0.07003105304976727,0.12205418334045309,0.9804064162234043,0.964665653857779,4.9649436473846436
8,0.05926533090446065,0.1169192653070105,0.9840217752659575,0.9660785527939492,4.879941701889038
9,0.04982705281532191,0.10923363514086033,0.9864735704787234,0.9686668895660563,4.8577964305877686
Mean,,,,,4.8463064432144165
Total,,,,,53.30937087535858
Params: 119100,,,,,
---,---,---,---,---,---
