Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
0,0.6225454076490504,0.3501157025073437,0.8272107712765957,0.9033054722116348,5.028285980224609
1,0.30754363013708846,0.2915098435701208,0.9111328125,0.9170663952827454,4.786865949630737
2,0.26926575933999203,0.27401248635129727,0.9222490026595744,0.921447568751396,4.637761831283569
3,0.24485731905603664,0.25108573094327397,0.9292927194148937,0.9280133932194812,4.60348653793335
4,0.22633094443602764,0.2347329965931304,0.9344664228723404,0.9328338719428854,4.56769061088562
5,0.21161921520499474,0.23111781255995972,0.9387466755319149,0.9350185229423198,4.654249429702759
6,0.19851193374934348,0.21991480950345385,0.9435048204787234,0.9385804533958435,4.680848598480225
7,0.18791931625851926,0.20952022139062274,0.9457488364361702,0.9398983666237365,4.65815806388855
8,0.17787307179830175,0.20588638110363738,0.948740857712766,0.9399221133678517,4.5524725914001465
9,0.16958609976349992,0.1938730793747496,0.9512342087765957,0.9438402361058175,4.534812927246094
Mean,,,,,4.670463252067566
Total,,,,,51.37509577274322
Params: 14320,,,,,
---,---,---,---,---,---
0,0.8416376895409949,0.36237626189881184,0.7423121675531915,0.8966565360414221,4.6143639087677
1,0.30349216221811925,0.2740648255703297,0.9104263630319149,0.9192985385022265,4.586875677108765
2,0.24508970801500565,0.23565629948960973,0.9259682513297872,0.9312310041265285,4.583370208740234
3,0.21254607301918751,0.2236088330441333,0.9368351063829787,0.9356834165593411,4.641043424606323
4,0.19072501095844077,0.21310145566438107,0.9432762632978723,0.9372269194176857,4.600481033325195
5,0.17705488827158797,0.1927477202199875,0.947265625,0.9434840438213754,4.649657726287842
6,0.16473689671368041,0.19708722607886536,0.9498420877659575,0.941762443552626,4.614888668060303
7,0.15661292257619666,0.17997559857495288,0.9517536569148937,0.9474140392973068,4.580829858779907
8,0.14625498335412207,0.1818364387814035,0.9552027925531915,0.9472596898992011,4.589523792266846
9,0.14123694919683832,0.17784156095474324,0.9568858045212766,0.948328268020711,4.581043243408203
Mean,,,,,4.604207754135132
Total,,,,,50.64628529548645
Params: 14009,,,,,
---,---,---,---,---,---
0,0.3925657361904357,0.22840751707553864,0.8881524268617021,0.9355765581130981,4.581414461135864
1,0.18094617322562856,0.16714146558908707,0.9485538563829787,0.953053762304022,4.556565761566162
2,0.12824079713368036,0.12881422066625128,0.9627451795212766,0.9630034198152259,4.563619136810303
3,0.09731143033330111,0.11445793358886495,0.9717627992021277,0.9648556240061497,4.577778339385986
4,0.07792785959912742,0.09843360268055125,0.9777052859042553,0.9709227782614688,4.554078578948975
5,0.06302552872357216,0.09880607289836761,0.981673869680851,0.9698898183538559,4.550102233886719
6,0.0529653502856084,0.09250103119522968,0.9846451130319149,0.9724900278639286,4.556910753250122
7,0.04408123620607434,0.09197790068673327,0.9874916888297872,0.9724544083818476,4.554159164428711
8,0.03648964150194475,0.08459137475236933,0.9901928191489362,0.97563639853863,4.557655334472656
9,0.031012939517089028,0.084055359336607,0.9913148271276596,0.9758263686870007,4.576084136962891
Mean,,,,,4.562836790084839
Total,,,,,50.191204690933226
Params: 120850,,,,,
---,---,---,---,---,---
0,0.5039211437898747,0.23714350512687196,0.8522481715425532,0.9313853547928181,4.649967908859253
1,0.18736999470027202,0.16379376437435758,0.943837267287234,0.9525669648292217,4.596583366394043
2,0.1357181557315461,0.13289662632853427,0.9596908244680851,0.9603913388353713,4.577759504318237
3,0.1024629852358014,0.11061524278781515,0.9687084441489362,0.9666722087149925,4.569772243499756
4,0.08416005475644736,0.10673536185888534,0.9731964760638298,0.9696761027295538,4.569916248321533
5,0.06698930160479342,0.0967552135203113,0.9785987367021277,0.972478153857779,4.603700876235962
6,0.05458453755350189,0.08542867099985163,0.9830036569148937,0.9744965814529581,4.579388856887817
7,0.045006722523929905,0.09071059956988121,0.9858917885638298,0.9730718097788222,4.588871240615845
8,0.03594648267855828,0.08571576535146921,0.9887383643617021,0.9745796931550857,4.582622766494751
9,0.031933664544881814,0.08533643937095049,0.9899434840425532,0.9761825622396266,4.623492956161499
Mean,,,,,4.59420759677887
Total,,,,,50.53628356456757
Params: 119722,,,,,
---,---,---,---,---,---
0,0.3250015888046077,0.1834733750908933,0.9063746675531915,0.9493849746724392,4.573482513427734
1,0.13465118204104773,0.12806873879534134,0.961186835106383,0.9626828470128648,4.588012933731079
2,0.0873189644808782,0.10137294969977216,0.9735081449468085,0.9695217520632642,4.623089790344238
3,0.06332517408349729,0.08496762193897937,0.9810505319148937,0.9748290282614688,4.516430616378784
4,0.04626903784996335,0.08340382266868936,0.9860164561170213,0.9739029268000988,4.577419996261597
5,0.0344184196375786,0.07157651806606892,0.990005817819149,0.9782484807866685,4.521644592285156
6,0.02523716177513942,0.07062310994939601,0.9932679521276596,0.9799225888353713,4.523967504501343
7,0.018807500608245584,0.07072265454112216,0.9949301861702128,0.9808961825167879,4.536762475967407
8,0.01420859323859096,0.07298833100085562,0.9966547539893617,0.9786402938213754,4.54825496673584
9,0.010602320092383455,0.06982243172031768,0.9979014295212766,0.9809199292609032,4.532150745391846
Mean,,,,,4.554121613502502
Total,,,,,50.09533774852753
Params: 330730,,,,,
---,---,---,---,---,---
0,0.45017948588158224,0.19929835707583327,0.8689951795212766,0.9418336825167879,4.5906219482421875
1,0.15619287192028888,0.15073730273449676,0.9534574468085106,0.9558083212122004,4.588261842727661
2,0.10565061064714447,0.10657382811954681,0.9675656582446809,0.9682869505374989,4.5744335651397705
3,0.07662559134211946,0.10167022976786533,0.9765001662234043,0.9691893052547536,4.5767998695373535
4,0.059070932431186135,0.09392762096955422,0.9820478723404256,0.9718370069848731,4.561126232147217
5,0.045382671449531585,0.08240222542526875,0.985850232712766,0.9758976076511626,4.580656290054321
6,0.03377347544053609,0.08392610460361268,0.9893201462765957,0.9769068208146603,4.592507600784302
7,0.027394281426553636,0.0954594131796918,0.9911901595744681,0.9734398760694138,4.556267023086548
8,0.022097887697956585,0.0841778946366716,0.9925822805851063,0.9774767299915882,4.567382097244263
9,0.017846118095281357,0.08230791030887594,0.9940990691489362,0.9785096898992011,4.580291271209717
Mean,,,,,4.576834774017334
Total,,,,,50.345182514190675
Params: 328490,,,,,
---,---,---,---,---,---
